Country,Year,earthquake_affected_annual_number
Guatemala,1976,5020000
Guatemala,1977,0
Guatemala,1978,0
Guatemala,1979,2040
Guatemala,1980,0
Guatemala,1981,0
Guatemala,1982,20
Guatemala,1983,0
Guatemala,1984,0
Guatemala,1985,5000
Guatemala,1986,2500
Guatemala,1987,0
Guatemala,1988,2060
Guatemala,1989,0
Guatemala,1990,0
Guatemala,1991,23900
Guatemala,1992,0
Guatemala,1993,0
Guatemala,1994,0
Guatemala,1995,0
Guatemala,1996,0
Guatemala,1997,0
Guatemala,1998,0
Guatemala,1999,282
Guatemala,2000,0
Guatemala,2001,158
Guatemala,2002,0
Guatemala,2003,0
Guatemala,2004,0
Guatemala,2005,0
Guatemala,2006,0
Guatemala,2007,0
Guatemala,2008,0
Guinea,1970,0
Guinea,1971,0
Guinea,1972,0
Guinea,1973,0
Guinea,1974,0
Guinea,1975,0
Guinea,1976,0
Guinea,1977,0
Guinea,1978,0
Guinea,1979,0
Guinea,1980,0
Guinea,1981,0
Guinea,1982,0
Guinea,1983,21700
Guinea,1984,0
Guinea,1985,0
Guinea,1986,0
Guinea,1987,0
Guinea,1988,0
Guinea,1989,0
Guinea,1990,0
Guinea,1991,0
Guinea,1992,0
Guinea,1993,0
Guinea,1994,0
Guinea,1995,0
Guinea,1996,0
Guinea,1997,0
Guinea,1998,0
Guinea,1999,0
Guinea,2000,0
Guinea,2001,0
Guinea,2002,0
Guinea,2003,0
Guinea,2004,0
Guinea,2005,0
Guinea,2006,0
Guinea,2007,0
Guinea,2008,0
Honduras,1970,0
Honduras,1971,0
Honduras,1972,0
Honduras,1973,0
Honduras,1974,0
Honduras,1975,0
Honduras,1976,0
Honduras,1977,0
Honduras,1978,0
Honduras,1979,0
Honduras,1980,2
Honduras,1981,0
Honduras,1982,500
Honduras,1983,0
Honduras,1984,0
Honduras,1985,0
Honduras,1986,0
Honduras,1987,0
Honduras,1988,0
Honduras,1989,0
Honduras,1990,0
Honduras,1991,0
Honduras,1992,0
Honduras,1993,0
Honduras,1994,0
Honduras,1995,0
Honduras,1996,0
Honduras,1997,0
Honduras,1998,0
Honduras,1999,0
Honduras,2000,0
Honduras,2001,0
Honduras,2002,0
Honduras,2003,0
Honduras,2004,0
Honduras,2005,0
Honduras,2006,0
Honduras,2007,1880
Honduras,2008,0
Iceland,1970,0
Iceland,1971,0
Iceland,1972,0
Iceland,1973,0
Iceland,1974,0
Iceland,1975,0
Iceland,1976,7
Iceland,1977,0
Iceland,1978,0
Iceland,1979,0
Iceland,1980,0
Iceland,1981,0
Iceland,1982,0
Iceland,1983,0
Iceland,1984,0
Iceland,1985,0
Iceland,1986,0
Iceland,1987,0
Iceland,1988,0
Iceland,1989,0
Iceland,1990,0
Iceland,1991,0
Iceland,1992,0
Iceland,1993,0
Iceland,1994,0
Iceland,1995,0
Iceland,1996,0
Iceland,1997,0
Iceland,1998,0
Iceland,1999,0
Iceland,2000,199
Iceland,2001,0
Iceland,2002,0
Iceland,2003,0
Iceland,2004,0
Iceland,2005,0
Iceland,2006,0
Iceland,2007,0
Iceland,2008,0
India,1970,26
India,1971,0
India,1972,100
India,1973,0
India,1974,0
India,1975,47
India,1976,0
India,1977,0
India,1978,0
India,1979,0
India,1980,61
India,1981,212
India,1982,0
India,1983,0
India,1984,10900
India,1985,0
India,1986,36
India,1987,0
India,1988,20000000
India,1989,0
India,1990,0
India,1991,55900
India,1992,0
India,1993,40300
India,1994,0
India,1995,0
India,1996,0
India,1997,157000
India,1998,0
India,1999,478000
India,2000,0
India,2001,6340000
India,2002,202
India,2003,0
India,2004,0
India,2005,158000
India,2006,0
India,2007,0
India,2008,0
Indonesia,1970,0
Indonesia,1971,0
Indonesia,1972,0
Indonesia,1973,0
Indonesia,1974,0
Indonesia,1975,0
Indonesia,1976,478000
Indonesia,1977,4190
Indonesia,1978,0
Indonesia,1979,86300
Indonesia,1980,20000
Indonesia,1981,2990
Indonesia,1982,23800
Indonesia,1983,100
Indonesia,1984,1950
Indonesia,1985,17
Indonesia,1986,0
Indonesia,1987,32200
Indonesia,1988,0
Indonesia,1989,23000
Indonesia,1990,9320
Indonesia,1991,17200
Indonesia,1992,102000
Indonesia,1993,0
Indonesia,1994,261000
Indonesia,1995,92000
Indonesia,1996,38800
Indonesia,1997,3130
Indonesia,1998,6980
Indonesia,1999,16900
Indonesia,2000,270000
Indonesia,2001,12500
Indonesia,2002,11900
Indonesia,2003,3250
Indonesia,2004,141000
Indonesia,2005,107000
Indonesia,2006,3190000
Indonesia,2007,620000
Indonesia,2008,10700
Iran,1970,10200
Iran,1971,0
Iran,1972,28500
Iran,1973,0
Iran,1974,0
Iran,1975,0
Iran,1976,16
Iran,1977,422000
Iran,1978,65100
Iran,1979,20800
Iran,1980,150
Iran,1981,37200
Iran,1982,0
Iran,1983,7520
Iran,1984,0
Iran,1985,7080
Iran,1986,1910
Iran,1987,3980
Iran,1988,16600
Iran,1989,1820
Iran,1990,772000
Iran,1991,1500
Iran,1992,4060
Iran,1993,5080
Iran,1994,16700
Iran,1995,0
Iran,1996,0
Iran,1997,226000
Iran,1998,9310
Iran,1999,7060
Iran,2000,3020
Iran,2001,1000
Iran,2002,147000
Iran,2003,324000
Iran,2004,533
Iran,2005,118000
Iran,2006,169000
Iran,2007,0
Iran,2008,20700
Iraq,1970,0
Iraq,1971,0
Iraq,1972,0
Iraq,1973,0
Iraq,1974,0
Iraq,1975,0
Iraq,1976,0
Iraq,1977,0
Iraq,1978,0
Iraq,1979,0
Iraq,1980,0
Iraq,1981,0
Iraq,1982,0
Iraq,1983,0
Iraq,1984,0
Iraq,1985,0
Iraq,1986,0
Iraq,1987,0
Iraq,1988,0
Iraq,1989,0
Iraq,1990,0
Iraq,1991,520
Iraq,1992,0
Iraq,1993,0
Iraq,1994,0
Iraq,1995,0
Iraq,1996,0
Iraq,1997,0
Iraq,1998,0
Iraq,1999,0
Iraq,2000,0
Iraq,2001,0
Iraq,2002,0
Iraq,2003,0
Iraq,2004,0
Iraq,2005,0
Iraq,2006,0
Iraq,2007,0
Iraq,2008,0
Italy,1970,0
Italy,1971,4240
Italy,1972,451
Italy,1973,0
Italy,1974,0
Italy,1975,0
Italy,1976,251000
Italy,1977,0
Italy,1978,905
Italy,1979,5010
Italy,1980,405000
Italy,1981,318
Italy,1982,6000
Italy,1983,21000
Italy,1984,9590
Italy,1985,0
Italy,1986,0
Italy,1987,0
Italy,1988,0
Italy,1989,0
Italy,1990,2740
Italy,1991,0
Italy,1992,0
Italy,1993,0
Italy,1994,0
Italy,1995,0
Italy,1996,0
Italy,1997,38100
Italy,1998,905
Italy,1999,0
Italy,2000,0
Italy,2001,0
Italy,2002,9570
Italy,2003,232
Italy,2004,0
Italy,2005,0
Italy,2006,0
Italy,2007,0
Italy,2008,0
Japan,1970,0
Japan,1971,0
Japan,1972,0
Japan,1973,0
Japan,1974,103
Japan,1975,0
Japan,1976,0
Japan,1977,0
Japan,1978,2650
Japan,1979,27
Japan,1980,82
Japan,1981,0
Japan,1982,1100
Japan,1983,208
Japan,1984,29
Japan,1985,20
Japan,1986,0
Japan,1987,22700
Japan,1988,0
Japan,1989,0
Japan,1990,0
Japan,1991,0
Japan,1992,32
Japan,1993,18100
Japan,1994,1790
Japan,1995,549000
Japan,1996,0
Japan,1997,0
Japan,1998,0
Japan,1999,0
Japan,2000,7230
Japan,2001,11300
Japan,2002,0
Japan,2003,21300
Japan,2004,62200
Japan,2005,4430
Japan,2006,0
Japan,2007,55200
Japan,2008,841
Kazakhstan,1970,0
Kazakhstan,1971,0
Kazakhstan,1972,0
Kazakhstan,1973,0
Kazakhstan,1974,0
Kazakhstan,1975,0
Kazakhstan,1976,0
Kazakhstan,1977,0
Kazakhstan,1978,0
Kazakhstan,1979,0
Kazakhstan,1980,0
Kazakhstan,1981,0
Kazakhstan,1982,0
Kazakhstan,1983,0
Kazakhstan,1984,0
Kazakhstan,1985,0
Kazakhstan,1986,0
Kazakhstan,1987,0
Kazakhstan,1988,0
Kazakhstan,1989,0
Kazakhstan,1990,0
Kazakhstan,1991,0
Kazakhstan,1992,0
Kazakhstan,1993,0
Kazakhstan,1994,0
Kazakhstan,1995,0
Kazakhstan,1996,0
Kazakhstan,1997,0
Kazakhstan,1998,0
Kazakhstan,1999,0
Kazakhstan,2000,0
Kazakhstan,2001,0
Kazakhstan,2002,0
Kazakhstan,2003,36600
Kazakhstan,2004,0
Kazakhstan,2005,0
Kazakhstan,2006,0
Kazakhstan,2007,0
Kazakhstan,2008,0
Kenya,1970,0
Kenya,1971,0
Kenya,1972,0
Kenya,1973,0
Kenya,1974,0
Kenya,1975,0
Kenya,1976,0
Kenya,1977,0
Kenya,1978,0
Kenya,1979,0
Kenya,1980,0
Kenya,1981,0
Kenya,1982,0
Kenya,1983,0
Kenya,1984,0
Kenya,1985,0
Kenya,1986,0
Kenya,1987,0
Kenya,1988,0
Kenya,1989,0
Kenya,1990,0
Kenya,1991,0
Kenya,1992,0
Kenya,1993,0
Kenya,1994,0
Kenya,1995,0
Kenya,1996,0
Kenya,1997,0
Kenya,1998,0
Kenya,1999,0
Kenya,2000,0
Kenya,2001,0
Kenya,2002,0
Kenya,2003,0
Kenya,2004,0
Kenya,2005,0
Kenya,2006,0
Kenya,2007,0
Kenya,2008,0
Kyrgyz Republic,1970,0
Kyrgyz Republic,1971,0
Kyrgyz Republic,1972,0
Kyrgyz Republic,1973,0
Kyrgyz Republic,1974,0
Kyrgyz Republic,1975,0
Kyrgyz Republic,1976,0
Kyrgyz Republic,1977,0
Kyrgyz Republic,1978,0
Kyrgyz Republic,1979,0
Kyrgyz Republic,1980,0
Kyrgyz Republic,1981,0
Kyrgyz Republic,1982,0
Kyrgyz Republic,1983,0
Kyrgyz Republic,1984,0
Kyrgyz Republic,1985,0
Kyrgyz Republic,1986,0
Kyrgyz Republic,1987,0
Kyrgyz Republic,1988,0
Kyrgyz Republic,1989,0
Kyrgyz Republic,1990,0
Kyrgyz Republic,1991,0
Kyrgyz Republic,1992,137000
Kyrgyz Republic,1993,0
Kyrgyz Republic,1994,0
Kyrgyz Republic,1995,0
Kyrgyz Republic,1996,0
Kyrgyz Republic,1997,1230
Kyrgyz Republic,1998,0
Kyrgyz Republic,1999,0
Kyrgyz Republic,2000,0
Kyrgyz Republic,2001,0
Kyrgyz Republic,2002,0
Kyrgyz Republic,2003,0
Kyrgyz Republic,2004,0
Kyrgyz Republic,2005,0
Kyrgyz Republic,2006,12100
Kyrgyz Republic,2007,0
Kyrgyz Republic,2008,4270
Malawi,1970,0
Malawi,1971,0
Malawi,1972,0
Malawi,1973,0
Malawi,1974,0
Malawi,1975,0
Malawi,1976,0
Malawi,1977,0
Malawi,1978,0
Malawi,1979,0
Malawi,1980,0
Malawi,1981,0
Malawi,1982,0
Malawi,1983,0
Malawi,1984,0
Malawi,1985,0
Malawi,1986,0
Malawi,1987,0
Malawi,1988,0
Malawi,1989,50100
Malawi,1990,0
Malawi,1991,0
Malawi,1992,0
Malawi,1993,0
Malawi,1994,0
Malawi,1995,0
Malawi,1996,0
Malawi,1997,0
Malawi,1998,0
Malawi,1999,0
Malawi,2000,0
Malawi,2001,0
Malawi,2002,0
Malawi,2003,0
Malawi,2004,0
Malawi,2005,0
Malawi,2006,0
Malawi,2007,0
Malawi,2008,0
Mexico,1970,0
Mexico,1971,0
Mexico,1972,0
Mexico,1973,517
Mexico,1974,0
Mexico,1975,0
Mexico,1976,0
Mexico,1977,0
Mexico,1978,3860
Mexico,1979,7540
Mexico,1980,6430
Mexico,1981,31
Mexico,1982,26
Mexico,1983,0
Mexico,1984,0
Mexico,1985,2140000
Mexico,1986,0
Mexico,1987,3050
Mexico,1988,0
Mexico,1989,353
Mexico,1990,0
Mexico,1991,0
Mexico,1992,0
Mexico,1993,0
Mexico,1994,0
Mexico,1995,67200
Mexico,1996,0
Mexico,1997,17000
Mexico,1998,0
Mexico,1999,138000
Mexico,2000,1
Mexico,2001,0
Mexico,2002,0
Mexico,2003,179000
Mexico,2004,0
Mexico,2005,0
Mexico,2006,0
Mexico,2007,0
Mexico,2008,0
Morocco,1970,0
Morocco,1971,0
Morocco,1972,0
Morocco,1973,0
Morocco,1974,0
Morocco,1975,0
Morocco,1976,0
Morocco,1977,0
Morocco,1978,0
Morocco,1979,0
Morocco,1980,0
Morocco,1981,0
Morocco,1982,0
Morocco,1983,0
Morocco,1984,0
Morocco,1985,0
Morocco,1986,0
Morocco,1987,0
Morocco,1988,0
Morocco,1989,0
Morocco,1990,0
Morocco,1991,0
Morocco,1992,0
Morocco,1993,0
Morocco,1994,0
Morocco,1995,0
Morocco,1996,0
Morocco,1997,0
Morocco,1998,0
Morocco,1999,0
Morocco,2000,0
Morocco,2001,0
Morocco,2002,0
Morocco,2003,0
Morocco,2004,14100
Morocco,2005,0
Morocco,2006,0
Morocco,2007,0
Morocco,2008,0
Mozambique,1970,0
Mozambique,1971,0
Mozambique,1972,0
Mozambique,1973,0
Mozambique,1974,0
Mozambique,1975,0
Mozambique,1976,0
Mozambique,1977,0
Mozambique,1978,0
Mozambique,1979,0
Mozambique,1980,0
Mozambique,1981,0
Mozambique,1982,0
Mozambique,1983,0
Mozambique,1984,0
Mozambique,1985,0
Mozambique,1986,0
Mozambique,1987,0
Mozambique,1988,0
Mozambique,1989,0
Mozambique,1990,0
Mozambique,1991,0
Mozambique,1992,0
Mozambique,1993,0
Mozambique,1994,0
Mozambique,1995,0
Mozambique,1996,0
Mozambique,1997,0
Mozambique,1998,0
Mozambique,1999,0
Mozambique,2000,0
Mozambique,2001,0
Mozambique,2002,0
Mozambique,2003,0
Mozambique,2004,0
Mozambique,2005,0
Mozambique,2006,1480
Mozambique,2007,0
Mozambique,2008,0
Myanmar,1970,0
Myanmar,1971,0
Myanmar,1972,0
Myanmar,1973,0
Myanmar,1974,0
Myanmar,1975,0
Myanmar,1976,0
Myanmar,1977,0
Myanmar,1978,0
Myanmar,1979,0
Myanmar,1980,0
Myanmar,1981,0
Myanmar,1982,0
Myanmar,1983,0
Myanmar,1984,0
Myanmar,1985,0
Myanmar,1986,0
Myanmar,1987,0
Myanmar,1988,0
Myanmar,1989,0
Myanmar,1990,0
Myanmar,1991,160
Myanmar,1992,0
Myanmar,1993,0
Myanmar,1994,0
Myanmar,1995,0
Myanmar,1996,0
Myanmar,1997,0
Myanmar,1998,0
Myanmar,1999,0
Myanmar,2000,0
Myanmar,2001,0
Myanmar,2002,0
Myanmar,2003,0
Myanmar,2004,0
Myanmar,2005,0
Myanmar,2006,0
Myanmar,2007,0
Myanmar,2008,0
Nepal,1970,0
Nepal,1971,0
Nepal,1972,0
Nepal,1973,0
Nepal,1974,0
Nepal,1975,0
Nepal,1976,0
Nepal,1977,0
Nepal,1978,0
Nepal,1979,0
Nepal,1980,241000
Nepal,1981,0
Nepal,1982,0
Nepal,1983,0
Nepal,1984,0
Nepal,1985,0
Nepal,1986,0
Nepal,1987,0
Nepal,1988,302000
Nepal,1989,0
Nepal,1990,0
Nepal,1991,0
Nepal,1992,0
Nepal,1993,285
Nepal,1994,0
Nepal,1995,0
Nepal,1996,0
Nepal,1997,0
Nepal,1998,0
Nepal,1999,0
Nepal,2000,0
Nepal,2001,0
Nepal,2002,0
Nepal,2003,0
Nepal,2004,0
Nepal,2005,0
Nepal,2006,0
Nepal,2007,0
Nepal,2008,0
Netherlands,1970,0
Netherlands,1971,0
Netherlands,1972,0
Netherlands,1973,0
Netherlands,1974,0
Netherlands,1975,0
Netherlands,1976,0
Netherlands,1977,0
Netherlands,1978,0
Netherlands,1979,0
Netherlands,1980,0
Netherlands,1981,0
Netherlands,1982,0
Netherlands,1983,0
Netherlands,1984,0
Netherlands,1985,0
Netherlands,1986,0
Netherlands,1987,0
Netherlands,1988,0
Netherlands,1989,0
Netherlands,1990,0
Netherlands,1991,0
Netherlands,1992,20
Netherlands,1993,0
Netherlands,1994,0
Netherlands,1995,0
Netherlands,1996,0
Netherlands,1997,0
Netherlands,1998,0
Netherlands,1999,0
Netherlands,2000,0
Netherlands,2001,0
Netherlands,2002,0
Netherlands,2003,0
Netherlands,2004,0
Netherlands,2005,0
Netherlands,2006,0
Netherlands,2007,0
Netherlands,2008,0
New Zealand,1970,0
New Zealand,1971,0
New Zealand,1972,0
New Zealand,1973,0
New Zealand,1974,0
New Zealand,1975,0
New Zealand,1976,0
New Zealand,1977,0
New Zealand,1978,0
New Zealand,1979,0
New Zealand,1980,0
New Zealand,1981,0
New Zealand,1982,0
New Zealand,1983,0
New Zealand,1984,0
New Zealand,1985,0
New Zealand,1986,0
New Zealand,1987,7030
New Zealand,1988,0
New Zealand,1989,0
New Zealand,1990,0
New Zealand,1991,0
New Zealand,1992,0
New Zealand,1993,0
New Zealand,1994,0
New Zealand,1995,0
New Zealand,1996,0
New Zealand,1997,0
New Zealand,1998,0
New Zealand,1999,0
New Zealand,2000,0
New Zealand,2001,0
New Zealand,2002,0
New Zealand,2003,0
New Zealand,2004,0
New Zealand,2005,0
New Zealand,2006,0
New Zealand,2007,0
New Zealand,2008,0
Nicaragua,1970,0
Nicaragua,1971,0
Nicaragua,1972,730000
Nicaragua,1973,0
Nicaragua,1974,0
Nicaragua,1975,0
Nicaragua,1976,0
Nicaragua,1977,0
Nicaragua,1978,0
Nicaragua,1979,0
Nicaragua,1980,0
Nicaragua,1981,0
Nicaragua,1982,0
Nicaragua,1983,0
Nicaragua,1984,0
Nicaragua,1985,0
Nicaragua,1986,0
Nicaragua,1987,0
Nicaragua,1988,0
Nicaragua,1989,0
Nicaragua,1990,0
Nicaragua,1991,0
Nicaragua,1992,6360
Nicaragua,1993,0
Nicaragua,1994,0
Nicaragua,1995,0
Nicaragua,1996,0
Nicaragua,1997,0
Nicaragua,1998,238
Nicaragua,1999,0
Nicaragua,2000,7480
Nicaragua,2001,0
Nicaragua,2002,0
Nicaragua,2003,0
Nicaragua,2004,0
Nicaragua,2005,0
Nicaragua,2006,0
Nicaragua,2007,0
Nicaragua,2008,0
North Korea,1970,0
North Korea,1971,0
North Korea,1972,0
North Korea,1973,0
North Korea,1974,0
North Korea,1975,0
North Korea,1976,0
North Korea,1977,0
North Korea,1978,0
North Korea,1979,0
North Korea,1980,0
North Korea,1981,0
North Korea,1982,0
North Korea,1983,0
North Korea,1984,0
North Korea,1985,0
North Korea,1986,0
North Korea,1987,0
North Korea,1988,0
North Korea,1989,0
North Korea,1990,0
North Korea,1991,0
North Korea,1992,0
North Korea,1993,0
North Korea,1994,0
North Korea,1995,0
North Korea,1996,0
North Korea,1997,0
North Korea,1998,0
North Korea,1999,0
North Korea,2000,0
North Korea,2001,0
North Korea,2002,0
North Korea,2003,0
North Korea,2004,0
North Korea,2005,0
North Korea,2006,0
North Korea,2007,0
North Korea,2008,0
Pakistan,1970,0
Pakistan,1971,0
Pakistan,1972,0
Pakistan,1973,0
Pakistan,1974,54900
Pakistan,1975,0
Pakistan,1976,0
Pakistan,1977,0
Pakistan,1978,0
Pakistan,1979,0
Pakistan,1980,0
Pakistan,1981,2490
Pakistan,1982,0
Pakistan,1983,567
Pakistan,1984,16
Pakistan,1985,12000
Pakistan,1986,750
Pakistan,1987,0
Pakistan,1988,0
Pakistan,1989,0
Pakistan,1990,318
Pakistan,1991,205000
Pakistan,1992,2140
Pakistan,1993,0
Pakistan,1994,0
Pakistan,1995,0
Pakistan,1996,0
Pakistan,1997,10200
Pakistan,1998,612
Pakistan,1999,0
Pakistan,2000,0
Pakistan,2001,914000
Pakistan,2002,156000
Pakistan,2003,0
Pakistan,2004,13200
Pakistan,2005,5200000
Pakistan,2006,0
Pakistan,2007,0
Pakistan,2008,75500
Panama,1970,0
Panama,1971,0
Panama,1972,0
Panama,1973,0
Panama,1974,0
Panama,1975,0
Panama,1976,0
Panama,1977,0
Panama,1978,0
Panama,1979,0
Panama,1980,0
Panama,1981,0
Panama,1982,0
Panama,1983,0
Panama,1984,0
Panama,1985,0
Panama,1986,0
Panama,1987,0
Panama,1988,0
Panama,1989,0
Panama,1990,0
Panama,1991,20100
Panama,1992,0
Panama,1993,0
Panama,1994,0
Panama,1995,0
Panama,1996,0
Panama,1997,0
Panama,1998,0
Panama,1999,0
Panama,2000,0
Panama,2001,0
Panama,2002,0
Panama,2003,1420
Panama,2004,0
Panama,2005,0
Panama,2006,0
Panama,2007,0
Panama,2008,0
Papua New Guinea,1970,15
Papua New Guinea,1971,0
Papua New Guinea,1972,0
Papua New Guinea,1973,0
Papua New Guinea,1974,0
Papua New Guinea,1975,0
Papua New Guinea,1976,0
Papua New Guinea,1977,0
Papua New Guinea,1978,0
Papua New Guinea,1979,0
Papua New Guinea,1980,0
Papua New Guinea,1981,0
Papua New Guinea,1982,0
Papua New Guinea,1983,10
Papua New Guinea,1984,0
Papua New Guinea,1985,0
Papua New Guinea,1986,1000
Papua New Guinea,1987,4000
Papua New Guinea,1988,0
Papua New Guinea,1989,0
Papua New Guinea,1990,0
Papua New Guinea,1991,0
Papua New Guinea,1992,0
Papua New Guinea,1993,20300
Papua New Guinea,1994,0
Papua New Guinea,1995,0
Papua New Guinea,1996,0
Papua New Guinea,1997,0
Papua New Guinea,1998,0
Papua New Guinea,1999,0
Papua New Guinea,2000,5000
Papua New Guinea,2001,201
Papua New Guinea,2002,5480
Papua New Guinea,2003,0
Papua New Guinea,2004,0
Papua New Guinea,2005,201
Papua New Guinea,2006,0
Papua New Guinea,2007,0
Papua New Guinea,2008,0
Peru,1970,3300000
Peru,1971,0
Peru,1972,1580000
Peru,1973,0
Peru,1974,43800
Peru,1975,0
Peru,1976,0
Peru,1977,0
Peru,1978,0
Peru,1979,1110
Peru,1980,3010
Peru,1981,12300
Peru,1982,3
Peru,1983,10
Peru,1984,0
Peru,1985,400
Peru,1986,8200
Peru,1987,0
Peru,1988,0
Peru,1989,0
Peru,1990,101000
Peru,1991,47400
Peru,1992,0
Peru,1993,151
Peru,1994,0
Peru,1995,0
Peru,1996,76000
Peru,1997,0
Peru,1998,0
Peru,1999,8130
Peru,2000,0
Peru,2001,354000
Peru,2002,0
Peru,2003,0
Peru,2004,0
Peru,2005,2510
Peru,2006,0
Peru,2007,481000
Peru,2008,0
Philippines,1970,214
Philippines,1971,0
Philippines,1972,0
Philippines,1973,78
Philippines,1974,0
Philippines,1975,0
Philippines,1976,187000
Philippines,1977,60000
Philippines,1978,0
Philippines,1979,0
Philippines,1980,0
Philippines,1981,0
Philippines,1982,0
Philippines,1983,1920
Philippines,1984,0
Philippines,1985,177
Philippines,1986,0
Philippines,1987,0
Philippines,1988,0
Philippines,1989,0
Philippines,1990,1630000
Philippines,1991,0
Philippines,1992,0
Philippines,1993,0
Philippines,1994,271000
Philippines,1995,0
Philippines,1996,0
Philippines,1997,0
Philippines,1998,0
Philippines,1999,196
Philippines,2000,0
Philippines,2001,0
Philippines,2002,73500
Philippines,2003,0
Philippines,2004,0
Philippines,2005,0
Philippines,2006,0
Philippines,2007,0
Philippines,2008,0
Poland,1970,0
Poland,1971,0
Poland,1972,0
Poland,1973,0
Poland,1974,0
Poland,1975,0
Poland,1976,0
Poland,1977,0
Poland,1978,0
Poland,1979,0
Poland,1980,0
Poland,1981,0
Poland,1982,1050
Poland,1983,0
Poland,1984,0
Poland,1985,0
Poland,1986,0
Poland,1987,0
Poland,1988,0
Poland,1989,0
Poland,1990,0
Poland,1991,0
Poland,1992,0
Poland,1993,0
Poland,1994,0
Poland,1995,0
Poland,1996,0
Poland,1997,0
Poland,1998,0
Poland,1999,0
Poland,2000,0
Poland,2001,0
Poland,2002,0
Poland,2003,0
Poland,2004,0
Poland,2005,0
Poland,2006,0
Poland,2007,0
Poland,2008,0
Romania,1970,0
Romania,1971,0
Romania,1972,0
Romania,1973,0
Romania,1974,0
Romania,1975,0
Romania,1976,0
Romania,1977,388000
Romania,1978,0
Romania,1979,0
Romania,1980,0
Romania,1981,0
Romania,1982,0
Romania,1983,0
Romania,1984,0
Romania,1985,0
Romania,1986,0
Romania,1987,0
Romania,1988,0
Romania,1989,0
Romania,1990,709
Romania,1991,5850
Romania,1992,0
Romania,1993,0
Romania,1994,0
Romania,1995,0
Romania,1996,0
Romania,1997,0
Romania,1998,0
Romania,1999,0
Romania,2000,0
Romania,2001,0
Romania,2002,0
Romania,2003,0
Romania,2004,0
Romania,2005,0
Romania,2006,0
Romania,2007,0
Romania,2008,0
Russia,1970,0
Russia,1971,0
Russia,1972,0
Russia,1973,0
Russia,1974,0
Russia,1975,0
Russia,1976,0
Russia,1977,0
Russia,1978,0
Russia,1979,0
Russia,1980,0
Russia,1981,0
Russia,1982,0
Russia,1983,0
Russia,1984,0
Russia,1985,0
Russia,1986,0
Russia,1987,0
Russia,1988,0
Russia,1989,0
Russia,1990,0
Russia,1991,0
Russia,1992,0
Russia,1993,0
Russia,1994,2350
Russia,1995,2740
Russia,1996,0
Russia,1997,0
Russia,1998,0
Russia,1999,11300
Russia,2000,19100
Russia,2001,0
Russia,2002,0
Russia,2003,1810
Russia,2004,138
Russia,2005,0
Russia,2006,12000
Russia,2007,7510
Russia,2008,5250
Rwanda,1970,0
Rwanda,1971,0
Rwanda,1972,0
Rwanda,1973,0
Rwanda,1974,0
Rwanda,1975,0
Rwanda,1976,0
Rwanda,1977,0
Rwanda,1978,0
Rwanda,1979,0
Rwanda,1980,0
Rwanda,1981,0
Rwanda,1982,0
Rwanda,1983,0
Rwanda,1984,0
Rwanda,1985,0
Rwanda,1986,0
Rwanda,1987,0
Rwanda,1988,0
Rwanda,1989,0
Rwanda,1990,0
Rwanda,1991,0
Rwanda,1992,0
Rwanda,1993,0
Rwanda,1994,0
Rwanda,1995,0
Rwanda,1996,0
Rwanda,1997,0
Rwanda,1998,0
Rwanda,1999,0
Rwanda,2000,0
Rwanda,2001,0
Rwanda,2002,1690
Rwanda,2003,0
Rwanda,2004,0
Rwanda,2005,0
Rwanda,2006,0
Rwanda,2007,0
Rwanda,2008,679
Slovenia,1970,0
Slovenia,1971,0
Slovenia,1972,0
Slovenia,1973,0
Slovenia,1974,0
Slovenia,1975,0
Slovenia,1976,0
Slovenia,1977,0
Slovenia,1978,0
Slovenia,1979,0
Slovenia,1980,0
Slovenia,1981,0
Slovenia,1982,0
Slovenia,1983,0
Slovenia,1984,0
Slovenia,1985,0
Slovenia,1986,0
Slovenia,1987,0
Slovenia,1988,0
Slovenia,1989,0
Slovenia,1990,0
Slovenia,1991,0
Slovenia,1992,0
Slovenia,1993,0
Slovenia,1994,0
Slovenia,1995,0
Slovenia,1996,0
Slovenia,1997,0
Slovenia,1998,700
Slovenia,1999,0
Slovenia,2000,0
Slovenia,2001,0
Slovenia,2002,0
Slovenia,2003,0
Slovenia,2004,606
Slovenia,2005,0
Slovenia,2006,0
Slovenia,2007,0
Slovenia,2008,0
Solomon Islands,1970,0
Solomon Islands,1971,0
Solomon Islands,1972,0
Solomon Islands,1973,0
Solomon Islands,1974,0
Solomon Islands,1975,0
Solomon Islands,1976,0
Solomon Islands,1977,1030
Solomon Islands,1978,0
Solomon Islands,1979,0
Solomon Islands,1980,0
Solomon Islands,1981,0
Solomon Islands,1982,0
Solomon Islands,1983,0
Solomon Islands,1984,0
Solomon Islands,1985,0
Solomon Islands,1986,0
Solomon Islands,1987,0
Solomon Islands,1988,501
Solomon Islands,1989,0
Solomon Islands,1990,0
Solomon Islands,1991,0
Solomon Islands,1992,0
Solomon Islands,1993,0
Solomon Islands,1994,0
Solomon Islands,1995,0
Solomon Islands,1996,0
Solomon Islands,1997,0
Solomon Islands,1998,0
Solomon Islands,1999,0
Solomon Islands,2000,0
Solomon Islands,2001,0
Solomon Islands,2002,0
Solomon Islands,2003,0
Solomon Islands,2004,0
Solomon Islands,2005,0
Solomon Islands,2006,0
Solomon Islands,2007,0
